#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 psf_nstar  neff_psf	 sky_frames	 
39 	 1 	 3 	 1.399 	 0.982 	 1.394 	1.203 	53288.100692 	13 	 27.615 	8.558 	
39 	 1 	 4 	 1.491 	 0.923 	 1.487 	1.204 	53288.102350 	41 	 31.445 	25.009 	
40 	 1 	 0 	 1.811 	 0.921 	 1.782 	1.204 	53288.101935 	41 	 45.154 	1.535 	
40 	 1 	 1 	 1.648 	 0.942 	 1.636 	1.205 	53288.103594 	18 	 38.075 	1.770 	
40 	 1 	 2 	 1.455 	 0.957 	 1.467 	1.203 	53288.100277 	12 	 30.604 	4.920 	
40 	 1 	 3 	 1.385 	 0.979 	 1.386 	1.203 	53288.101106 	9 	 27.307 	8.607 	
40 	 1 	 4 	 1.534 	 0.923 	 1.517 	1.204 	53288.102765 	30 	 32.727 	25.367 	
41 	 1 	 0 	 1.804 	 0.922 	 1.777 	1.204 	53288.102350 	51 	 44.891 	1.526 	
41 	 1 	 1 	 1.649 	 0.942 	 1.634 	1.205 	53288.104009 	11 	 37.964 	1.749 	
41 	 1 	 2 	 1.428 	 0.964 	 1.408 	1.203 	53288.100692 	10 	 28.187 	4.906 	
41 	 1 	 3 	 1.333 	 0.979 	 1.334 	1.203 	53288.101521 	10 	 25.290 	8.648 	
41 	 1 	 4 	 1.503 	 0.922 	 1.499 	1.204 	53288.103179 	40 	 31.953 	25.582 	
42 	 1 	 0 	 1.851 	 0.925 	 1.803 	1.204 	53288.102765 	63 	 46.242 	1.520 	
42 	 1 	 1 	 1.682 	 0.927 	 1.691 	1.205 	53288.104423 	12 	 40.667 	1.731 	
42 	 1 	 2 	 1.484 	 0.958 	 1.484 	1.203 	53288.101106 	13 	 31.292 	4.886 	
42 	 1 	 3 	 1.394 	 0.980 	 1.389 	1.203 	53288.101935 	15 	 27.422 	8.695 	
42 	 1 	 4 	 1.506 	 0.924 	 1.501 	1.204 	53288.103594 	44 	 32.025 	25.773 	
43 	 1 	 0 	 1.839 	 0.917 	 1.811 	1.204 	53288.103179 	63 	 46.620 	1.519 	
43 	 1 	 1 	 1.637 	 0.935 	 1.646 	1.205 	53288.104838 	14 	 38.521 	1.735 	
43 	 1 	 2 	 1.463 	 0.957 	 1.467 	1.203 	53288.101521 	11 	 30.595 	4.919 	
43 	 1 	 3 	 1.372 	 0.982 	 1.356 	1.203 	53288.102350 	16 	 26.126 	8.808 	
43 	 1 	 4 	 1.486 	 0.926 	 1.478 	1.204 	53288.104009 	43 	 31.064 	25.928 	
44 	 1 	 0 	 1.839 	 0.919 	 1.817 	1.204 	53288.103594 	59 	 46.968 	1.519 	
44 	 1 	 1 	 1.617 	 0.948 	 1.599 	1.205 	53288.105253 	24 	 36.351 	1.750 	
44 	 1 	 2 	 1.437 	 0.960 	 1.437 	1.203 	53288.101935 	10 	 29.348 	4.983 	
44 	 1 	 3 	 1.425 	 0.975 	 1.442 	1.203 	53288.102765 	13 	 29.547 	8.928 	
44 	 1 	 4 	 1.513 	 0.912 	 1.527 	1.204 	53288.104423 	39 	 33.174 	25.946 	
45 	 1 	 0 	 1.830 	 0.917 	 1.811 	1.204 	53288.104009 	47 	 46.621 	1.518 	
45 	 1 	 1 	 1.647 	 0.939 	 1.641 	1.205 	53288.105667 	24 	 38.278 	1.781 	
45 	 1 	 2 	 1.448 	 0.962 	 1.449 	1.203 	53288.102350 	18 	 29.833 	5.062 	
45 	 1 	 3 	 1.394 	 0.977 	 1.398 	1.203 	53288.103179 	20 	 27.807 	9.049 	
45 	 1 	 4 	 1.414 	 0.918 	 1.418 	1.204 	53288.104838 	37 	 28.603 	25.704 	
46 	 1 	 0 	 1.858 	 0.912 	 1.849 	1.204 	53288.104423 	44 	 48.610 	1.510 	
46 	 1 	 1 	 1.680 	 0.931 	 1.683 	1.205 	53288.106082 	23 	 40.289 	1.769 	
46 	 1 	 2 	 1.500 	 0.959 	 1.486 	1.203 	53288.102765 	16 	 31.392 	5.045 	
46 	 1 	 3 	 1.405 	 0.975 	 1.421 	1.203 	53288.103594 	16 	 28.719 	9.095 	
46 	 1 	 4 	 1.475 	 0.931 	 1.457 	1.204 	53288.105253 	47 	 30.184 	25.408 	
47 	 1 	 0 	 1.789 	 0.922 	 1.764 	1.204 	53288.104838 	49 	 44.246 	1.511 	
47 	 1 	 1 	 1.732 	 0.928 	 1.742 	1.205 	53288.106496 	19 	 43.125 	1.767 	
47 	 1 	 2 	 1.465 	 0.962 	 1.465 	1.203 	53288.103179 	13 	 30.506 	5.049 	
47 	 1 	 3 	 1.398 	 0.978 	 1.408 	1.203 	53288.104009 	15 	 28.189 	9.134 	
47 	 1 	 4 	 1.524 	 0.921 	 1.515 	1.204 	53288.105667 	49 	 32.644 	25.544 	
48 	 1 	 0 	 1.726 	 0.947 	 1.679 	1.204 	53288.105253 	45 	 40.102 	1.522 	
48 	 1 	 1 	 1.774 	 0.928 	 1.769 	1.205 	53288.106911 	22 	 44.503 	1.764 	
48 	 1 	 2 	 1.493 	 0.953 	 1.495 	1.203 	53288.103594 	13 	 31.787 	5.042 	
48 	 1 	 3 	 1.394 	 0.976 	 1.405 	1.203 	53288.104423 	13 	 28.067 	9.093 	
48 	 1 	 4 	 1.505 	 0.917 	 1.506 	1.204 	53288.106082 	47 	 32.227 	25.637 	
